"","yearSeason","slugSeason","urlBREF","rankVotes","namePlayer","agePlayer","slugPlayerBREF","slugTeam","pctVote","votesFirst","pointsMax","pointsVote","isWinner"
"41",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",8,"Dirk Nowitzki",23,"nowitdi01","DAL",0.025,0,"1260",31,FALSE
"42",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",9,"Allen Iverson",26,"iversal01","PHI",0.023,0,"1260",29,FALSE
"43",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",10,"Ben Wallace",27,"wallabe01","DET",0.019,0,"1260",24,FALSE
"44",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",11,"Paul Pierce",24,"piercpa01","BOS",0.017,0,"1260",22,FALSE
"45",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",12,"Kevin Garnett",25,"garneke01","MIN",0.013,0,"1260",17,FALSE
"46",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",13,"Michael Jordan",38,"jordami01","WAS",0.013,0,"1260",16,FALSE
"47",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",14,"Steve Nash",27,"nashst01","DAL",0.004,0,"1260",5,FALSE
"48",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",15,"Jerry Stackhouse",27,"stackje01","DET",0.002,0,"1260",3,FALSE
"49",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Mike Bibby",23,"bibbymi01","SAC",0.001,0,"1260",1,FALSE
"50",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Elton Brand",22,"brandel01","LAC",0.001,0,"1260",1,FALSE
"51",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Peja Stojakovic",24,"stojape01","SAC",0.001,0,"1260",1,FALSE
"52",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",1,"Tim Duncan",26,"duncati01","SAS",0.808,60,"1190",962,TRUE
"53",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",2,"Kevin Garnett",26,"garneke01","MIN",0.732,43,"1190",871,FALSE
